,yelpid,name,lat,lng,distance miles,distance meters,price rating,review count,review rating,type,sub type,address1,city,state,zip,reviewid,compound,positive,negative,neutral,review text,timestamp,reviewer name,reviewer id
20,Ut9709JWjLlx9CYyTjYYKg,Thai Style,33.6409916584226,-117.855753420789,0.66,1062,$$,4,4.5,Thai,Food Stands,5171 California Ave,Irvine,CA,92617,l1zsiDmhiz45pqsouMDTkg,0.7712,0.233,0.0,0.767,Legit ! I wish they had a restaurant because I would be a regular.  The food is delicious.  It's a very small mom and pop operation which sets up a small...,2018-03-20 16:15:59,Michael D.,7ymjgHryA31FIrKsm9KyXA
21,ObCj8Y3KAdk4bgc8oSxNcA,Bosscat Kitchen and Libations,33.66985,-117.86526,2.38,3823,$$,2493,4.5,American (New),Lounges,4647 MacArthur Blvd,Newport Beach,CA,92660,29utJ4OrFP4jPSTaTAK8Ww,0.3612,0.077,0.0,0.923,"Don't take your date to this place on NFL's opening week. It can get very loud and feel like you are at a sport bar while it's far from it. 
Appetizers are...",2018-09-11 17:45:23,Arezou G.,OkHJnN23aVqFIoP27mB9hg
22,ObCj8Y3KAdk4bgc8oSxNcA,Bosscat Kitchen and Libations,33.66985,-117.86526,2.38,3823,$$,2493,4.5,American (New),Lounges,4647 MacArthur Blvd,Newport Beach,CA,92660,5renwEnWTJsumt4rrzVWTg,0.6876,0.159,0.042,0.8,"Wow! What an experience!!!!! The service here is unmatched!!! I've only been to Bosscats twice, prior to last night, only for drinks. So, this was my first...",2018-09-09 17:05:36,Beth M.,97a2A4gZgJpEAxfJxmiz4Q
23,ObCj8Y3KAdk4bgc8oSxNcA,Bosscat Kitchen and Libations,33.66985,-117.86526,2.38,3823,$$,2493,4.5,American (New),Lounges,4647 MacArthur Blvd,Newport Beach,CA,92660,pNyhRYgYxMI_G3kYrxvX-g,0.7351,0.212,0.0,0.788,My group of friends and I (10-15 ppl) made a reservation at 11am for Saturday Brunch. We were seated promptly. My friends got the Bottomless mimosas. The...,2018-09-09 13:44:20,Lisa B.,iG8qypkkvTHvQnVFrZkaRQ
24,NVB2X8t5Rie8S5AnzOnWJg,North Italia,33.67179,-117.84507,2.16,3477,$$,2208,4.5,Pizza,Italian,2957 Michelson Dr,Irvine,CA,92612,QLpop9_8J1_SahYyz25F5w,0.8074,0.249,0.0,0.751,"Not only the amazing food, but after asking if there is a military discount, the manager, Jerry, apologizes there is none, but offers his own as well as a...",2018-09-09 19:10:19,Jason P.,S9_npMJoctCGmg61ZBuYjA
25,NVB2X8t5Rie8S5AnzOnWJg,North Italia,33.67179,-117.84507,2.16,3477,$$,2208,4.5,Pizza,Italian,2957 Michelson Dr,Irvine,CA,92612,bc-20X2-fnbly5UBqJvG3A,0.0,0.0,0.0,1.0,"We were staying across the way at the AC Hotel and in doing my check of restaturants in the area, North Italia came up. Looked at the many Yelp reviews and...",2018-09-12 12:10:43,Chuck D.,5XAXkk6WENi0OW_HSSXRWA
26,NVB2X8t5Rie8S5AnzOnWJg,North Italia,33.67179,-117.84507,2.16,3477,$$,2208,4.5,Pizza,Italian,2957 Michelson Dr,Irvine,CA,92612,or8zUCgQhvqGa3g0433dmQ,0.3446,0.169,0.125,0.706,"I honestly like this place a lot, so I'm upset to leave this review. I've been here several times. Once, for my mom's birthday and a few other times with...",2018-09-12 00:23:53,Rulla A.,QYVPF8N9lpTPQcBKsZ8Hpw
27,RcWSCtCaDcn9FPZwM0AQrg,Spoleto,33.651059,-117.839014,0.79,1272,$$,280,4.0,Italian,Salad,4175 Campus Dr,Irvine,CA,92612,T93nBUGu3To8Jf4kQq_FhQ,0.8271,0.216,0.0,0.784,"I would give this one star, but the second star is for the hope that this place could be better.

I've eaten here four or five times before and have tried...",2018-09-11 10:58:00,Nathan G.,d2F_jrGXFOtWL8cjthNS7A
28,RcWSCtCaDcn9FPZwM0AQrg,Spoleto,33.651059,-117.839014,0.79,1272,$$,280,4.0,Italian,Salad,4175 Campus Dr,Irvine,CA,92612,-TlPjlQkCfCzYftUPnqqsQ,0.9311,0.422,0.0,0.578,Came here yesterday and loved it! Great first impression because the interior of the restaurant & menu are both aesthetically pleasing! Counters were clean...,2018-09-08 14:23:42,Trish P.,6eaY6cXabv63JSY52bq5Qg
29,RcWSCtCaDcn9FPZwM0AQrg,Spoleto,33.651059,-117.839014,0.79,1272,$$,280,4.0,Italian,Salad,4175 Campus Dr,Irvine,CA,92612,v4L5cY7jvxewT-ARjlNcJQ,0.3818,0.137,0.066,0.797,"The food is good and well presented, which is why I choose to come here as many times as I have. But what pisses me off the most is that they don't give the...",2018-08-18 20:19:14,Genji M.,Qxdq404QOjFXI-hb0Rqj3Q
